Disease,Anae,Anrx,Atax,Const,Diarr,Dysnt,Dyspn,Haem,Icter,Lymph,Pyrx,Stare,PotB,Oedm,Weak,Wgt_L
Anthrax,0.025,0.881,0.025,0.056,0.025,0.025,0.119,0.025,0.025,0.088,0.944,0.763,0.025,0.056,0.175,0.056
Babesiosis,0.944,0.794,0.056,0.056,0.025,0.025,0.5,0.944,0.881,0.325,0.913,0.763,0.088,0.025,0.881,0.588
Blackleg,0.056,0.944,0.025,0.15,0.025,0.025,0.056,0.025,0.025,0.413,0.913,0.825,0.056,0.025,0.794,0.088
CBPP,0.088,0.913,0.025,0.025,0.025,0.025,0.975,0.025,0.056,0.5,0.913,0.881,0.675,0.056,0.913,0.913
Colibacilosis,0.119,0.944,0.056,0.025,0.975,0.825,0.025,0.025,0.056,0.175,0.913,0.794,0.619,0.025,0.944,0.913
Cowdriosis,0.325,0.794,0.975,0.088,0.175,0.025,0.675,0.025,0.056,0.588,0.913,0.763,0.294,0.025,0.881,0.5
Fasciolosis,0.794,0.325,0.025,0.294,0.5,0.025,0.025,0.025,0.675,0.025,0.025,0.881,0.706,0.944,0.913,0.944
Pasteurollosis,0.056,0.913,0.025,0.025,0.025,0.025,0.975,0.025,0.025,0.413,0.944,0.706,0.5,0.85,0.913,0.913
PGE,0.706,0.5,0.025,0.206,0.794,0.325,0.175,0.025,0.025,0.025,0.056,0.944,0.944,0.675,0.913,0.944
Rabies (dumb),0.025,0.913,0.325,0.175,0.025,0.025,0.294,0.025,0.025,0.025,0.413,0.175,0.025,0.025,0.056,0.056
Trypanosomosis,0.913,0.794,0.025,0.088,0.206,0.025,0.413,0.025,0.088,0.975,0.588,0.913,0.913,0.025,0.913,0.975
Tuberculosis,0.206,0.325,0.025,0.056,0.025,0.025,0.944,0.025,0.025,0.944,0.5,0.881,0.881,0.025,0.913,0.944
